TITLE = "FEHM V3.3.0lin 18-01-19 QA:NA  07/06/2018  10:13:46 # run.dat"
VARIABLES = "node" "Liquid Pressure (MPa)" "Temperature (<sup>o</sup>C)"
ZONE T ="Simulation time   0.00000000    days"
 0000000686    12.8315482    52.7000000
 0000000687    12.8315482    52.7000000
 0000000688    12.8315482    52.7000000
 0000000689    12.8315482    52.7000000
 0000000690    12.8315482    52.7000000
 0000000691    12.8315482    52.7000000
 0000000692    12.8315482    52.7000000
 0000000693    12.8315482    52.7000000
 0000000694    12.8315481    52.7000000
 0000000695    12.8315481    52.7000000
 0000000696    12.8315481    52.7000000
 0000000697    12.8315481    52.7000000
 0000000698    12.8315481    52.7000000
 0000000699    12.8315481    52.7000000
 0000000700    12.8315480    52.7000000
 0000000701    12.8315479    52.7000000
 0000000702    12.8315478    52.7000000
 0000000703    12.8315476    52.7000000
 0000000704    12.8315474    52.7000000
 0000000705    12.8315470    52.7000000
 0000000706    12.8315464    52.7000000
 0000000707    12.8315455    52.7000000
 0000000708    12.8315443    52.7000000
 0000000709    12.8315425    52.7000000
 0000000710    12.8315401    52.7000000
 0000000711    12.8315376    52.7000000
 0000000712    12.8315367    52.7000000
 0000000713    12.8315439    52.7000000
 0000000714    12.8315906    52.2246613
 0000000715    12.8315907    52.2246594
 0000000716    12.8315440    52.7000000
 0000000717    12.8315368    52.7000000
 0000000718    12.8315377    52.7000000
 0000000719    12.8315402    52.7000000
 0000000720    12.8315426    52.7000000
 0000000721    12.8315444    52.7000000
 0000000722    12.8315456    52.7000000
 0000000723    12.8315465    52.7000000
 0000000724    12.8315471    52.7000000
 0000000725    12.8315475    52.7000000
 0000000726    12.8315477    52.7000000
 0000000727    12.8315479    52.7000000
 0000000728    12.8315480    52.7000000
 0000000729    12.8315481    52.7000000
 0000000730    12.8315481    52.7000000
 0000000731    12.8315482    52.7000000
 0000000732    12.8315482    52.7000000
 0000000733    12.8315482    52.7000000
 0000000734    12.8315482    52.7000000
 0000000735    12.8315482    52.7000000
 0000000736    12.8315482    52.7000000
 0000000737    12.8315482    52.7000000
 0000000738    12.8315482    52.7000000
 0000000739    12.8315482    52.7000000
 0000000740    12.8315482    52.7000000
 0000000741    12.8315482    52.7000000
 0000000742    12.8315482    52.7000000
 0000000743    12.8315482    52.7000000
 0000000744    12.8315482    52.7000000
 0000000745    12.8315482    52.7000000
 0000000746    12.8315482    52.7000000
 0000000747    12.8315482    52.7000000
 0000000748    12.8315482    52.7000000
 0000000749    12.8315482    52.7000000
 0000000750    12.8315481    52.7000000
 0000000751    12.8315481    52.7000000
